,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,Fecha,Creado_por,Monitor,Comunidad,Actividad_monitorear,Numero_hombres,Numero_mujeres,Numero_horas_capacitacion,Capacidad_adquirida
0,431309556,4b44fae3-e3a1-45e6-8847-f4b43f53a6be,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:31:52,Approved,1744654553,monitoreo_pachamama,2024-02-13,,Agustín,Sharamentsa,Generacion_capacidades,,,,Realizaron la revisión del programa forest wacher
1,431309638,05ac549e-6b56-41c9-ab73-c7ca28f993d1,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:34:26,Approved,1744654432,monitoreo_pachamama,2024-01-12,,Agustín,Sharamentsa,Generacion_capacidades,,,,"Se realizo la capacitación de los monitores en parte de GPS, Cámara trampa y Dron."
2,431309672,2da847cc-0fa3-4216-92c8-5a7b331ba58c,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:36:38,Approved,1744654541,monitoreo_pachamama,2024-01-29,,Juan,Sharamentsa,Generacion_capacidades,,,,"Se realizo la capacitación de los monitores en parte de GPS, Cámara trampa y Dron."
3,431309755,2a6ceeb8-eaf8-43ed-a6cc-74b2cdcc0016,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:39:39,Approved,1744654438,monitoreo_pachamama,2024-01-12,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
4,431309783,247a9331-f648-4b52-ac9c-e556ce0ac219,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:41:02,Approved,1744654559,monitoreo_pachamama,2024-01-13,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
5,431309815,212bb71f-1c40-4e7e-8b19-81158bacbf71,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:42:33,Approved,1744654445,monitoreo_pachamama,2024-01-14,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
6,431310054,5ba3a15a-6c4b-4ab7-921e-bba5c2d27741,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:45:34,Approved,1744654536,monitoreo_pachamama,2024-01-15,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
7,431310125,6e2c8b30-faad-4345-ae5a-d1969e1a14b4,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:46:33,Approved,1744654452,monitoreo_pachamama,2024-01-19,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
8,431310170,5ae7ddf6-15ed-4e34-a6a8-7d4bcd710954,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:48:16,Approved,1744654566,monitoreo_pachamama,2024-01-22,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
9,431310215,dc3a330d-25e4-4733-946d-376d483e0186,v7Z7Fszan4sL4hdEfL5WFn,2025-01-19T01:49:28,Approved,1744654458,monitoreo_pachamama,2024-01-26,,Agustín,Sharamentsa,Generacion_capacidades,,,,Capacitación de vuelo con el Dron a los dos monitores Juan y Santiago.
