,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,Fecha,CreadoPor,Monitor,Comunidad,Entorno,Tipo_evidencia,Descripcion,N_jaguares,Conflictos_jaguar,Otros_animales,Nivel_taxonomico,Nombre_cientifico,Nombre_achuar,Nombre_comun,Punto_evidencia,Latitud,Longitud,Foto_evidencia,Foto_url
0,450748369,00ac5a0d-8a8d-48d7-a436-e2f83c7bf293,vAQqv5sLSAx3BQXYG2habd,2025-03-11T16:42:29,Approved,1756389003,conservacion_napurak,2025-08-27,,Santiago Mukucham,Napurak,En el camino vía napurak a awampuik,Fotos_jaguar,En el camino vía napurak a wampuik,1,,Jaguar se persigue donde el pecari,,,Junt Yawa,Jaguar,-2.5264348 -76.99453 250.10000000000002 4.933,-2.5264348,-76.99453,,
1,453395064,2aa52c14-aaa1-4819-aba1-e2e33adb17e0,vAQqv5sLSAx3BQXYG2habd,2025-03-18T14:21:56,Approved,1760973875,conservacion_shuinmamus,2025-03-11,Entsakua_Mayak_Arutam_Fernando,Fernando,Shuinmamus,En la orilla del río,Huellas o rastros,Pasó a otro lado,1,No,No,Especie,Panthera onca,,,-2.465475 -77.0301867 266.2 3.8,-2.465475,-77.0301867,1741694057227.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/453395064/attachments/attgLDRopf2VXFNHtLACjk6t/
2,456705327,64879b55-bb25-4ee8-9cb4-c6c17e81ee7f,vAQqv5sLSAx3BQXYG2habd,2025-03-26T18:05:53,Approved,1749759267,conservacion_sharamentsa,2025-03-19,,Puwanchir Tsamarin Wanach Manuel,Sharamentsa,"Lindero de Suwa-Sharamentsa, se evidencio hueso y pelajes del animal que se alimento el jaguar.",Pelos y restos,Huesos y pelajes,1,No,No,,,,,-2.504275 -76.95684 277.4000244140625 4.5,-2.504275,-76.95684,,
3,458421837,ef0202cb-530c-4042-b3da-7e608cbb624a,vAQqv5sLSAx3BQXYG2habd,2025-04-01T14:22:07,Approved,1744039210,conservacion_sharamentsa,2025-04-01,Tentets_Washikiat_Agustin_Ramon,Agustín Tentets,Sharamentsa,Huella de jaguar,Huellas o rastros,Se encontró huella del Jaguar en la chacra de la Nunkui Tentets,1,No,No,Especie,Panthera onca,,,-2.4721989 -76.9824793 290.76531982421875 5.108,-2.4721989,-76.9824793,1743507882323.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/458421837/attachments/attaicunNu5BvitRbKJkMCsm/
4,458759506,42dcebc7-611d-4441-8deb-f48983f5cdfb,vAQqv5sLSAx3BQXYG2habd,2025-04-02T14:37:43,Approved,1744040169,conservacion_sharamentsa,2025-03-31,,Yunkar Esach Tii Oswaldo,Sharamentsa,Se encontró la evidencia en el río tsuatentsa.,Huellas o rastros,Rastros de jaguar,1,No,No,,,,,-2.4605584 -76.9660922 269.7 4.8,-2.4605584,-76.9660922,1743455030342.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/458759506/attachments/att9BGLEEv4YjCmNrxtpsjVU/
5,459857647,8d9e0dc2-e8f0-4b25-9d57-03b91dcbc018,vAQqv5sLSAx3BQXYG2habd,2025-04-05T22:23:09,Approved,1744657660,monitoreo_pachamama,2025-04-05,,Joel,Hotel Kapawi,"Sendero kunkuk, cima de loma",Huellas o rastros,Plantas mordisqueadas para limpieza estómago.,1,No,No,,,,,-2.5371525 -76.8749753 304.5 4.928,-2.5371525,-76.8749753,1743883217732.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/459857647/attachments/attr8B7i2UASHzVUpjXJViWv/
6,460022815,efc8f035-3017-4b9a-a955-56b5f8da3c6f,vAQqv5sLSAx3BQXYG2habd,2025-04-06T17:19:42,Approved,1744657658,monitoreo_pachamama,2025-04-06,,Joel ,Hotel Kapawi,Sendero hotel-lobo.,Huellas o rastros,Huella de algún tiempo.,1,,,,,,,-2.5317867 -76.8622062 258.4 5.0,-2.5317867,-76.8622062,1743951190859.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/460022815/attachments/attp588JD9EkShzyc5w8dMfM/
7,460281183,0fdd4ce1-6300-49b3-b266-1087ab7c721f,vAQqv5sLSAx3BQXYG2habd,2025-04-07T13:54:14,Approved,1744040224,conservacion_sharamentsa,2025-04-06,,Tentets veronica,Hotel Kapawi,La raspada de jaguar,Huellas o rastros,Raspada del Jaguar antigua,1,,,,,,,-2.5316513 -76.8621108 272.5101318359375 4.738,-2.5316513,-76.8621108,1743951247606.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/460281183/attachments/attAFDY2STksnsHVVsbKXEnA/
8,460407515,cd16139f-bdfc-4ffb-8030-e27ff9b420cf,vAQqv5sLSAx3BQXYG2habd,2025-04-07T20:35:42,Approved,1744217147,conservacion_sharamentsa,2025-04-07,,Juan Jimpikit,Sharamentsa,Camino Rafael Entsakua,Huellas o rastros,Rastros,1,,,,,,,-2.4617685 -76.9737881 271.5 4.4,-2.4617685,-76.9737881,1744041295851.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/460407515/attachments/attpAEz2KsrmpFRDmRyE74Ji/
9,460857939,cdbcde69-42be-4a8c-8898-58bfc1c453d4,vAQqv5sLSAx3BQXYG2habd,2025-04-08T22:19:47,Approved,1744217206,conservacion_sharamentsa,2025-04-08,,Joel,Sharamentsa,Bosque secundario,Huellas o rastros,Huella vieja,1,,,,,,,-2.4907596 -76.9896428 250.3 4.82,-2.4907596,-76.9896428,1744148047961.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/460857939/attachments/attVftVwEhL2iXhn7uGD8mmz/
