,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,fecha,monitor,Comunidad,actividad,poligono,linea,punto,transecto,_geolocation,uso_plantas,especie,num_plantas,otra_sp
0,393144147,90953575-a4db-441b-951b-944b72843342,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:24:57,Approved,1736873704,monitoreo_pachamama,2023-03-28,Agustin,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
1,393144147,90953575-a4db-441b-951b-944b72843342,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:24:57,Approved,1736873704,monitoreo_pachamama,2023-03-28,Agustin,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
2,393144147,90953575-a4db-441b-951b-944b72843342,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:24:57,Approved,1736873704,monitoreo_pachamama,2023-03-28,Agustin,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
3,393144927,024bbd2f-d439-4e8c-a140-54ff4572dcd9,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:26:39,Approved,1736873702,monitoreo_pachamama,2023-03-28,Manuel,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
4,393144927,024bbd2f-d439-4e8c-a140-54ff4572dcd9,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:26:39,Approved,1736873702,monitoreo_pachamama,2023-03-28,Manuel,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
5,393144927,024bbd2f-d439-4e8c-a140-54ff4572dcd9,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:26:39,Approved,1736873702,monitoreo_pachamama,2023-03-28,Manuel,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
6,393145407,6f13f146-8a95-43b3-a733-a2cf29f14b2d,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:27:45,Approved,1736873701,monitoreo_pachamama,2023-03-28,Tii,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
7,393145407,6f13f146-8a95-43b3-a733-a2cf29f14b2d,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:27:45,Approved,1736873701,monitoreo_pachamama,2023-03-28,Tii,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
8,393145407,6f13f146-8a95-43b3-a733-a2cf29f14b2d,vyVCeasvVkmgvtHGva36kK,2024-10-09T16:27:45,Approved,1736873701,monitoreo_pachamama,2023-03-28,Tii,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
9,393174067,eb941a8c-0fd0-45c8-a18f-beec1f0b95d9,vyVCeasvVkmgvtHGva36kK,2024-10-09T17:36:36,Approved,1736873749,monitoreo_pachamama,2023-05-19,Tii,,reforestacion,,,,,"[None, None]",siembra_madera_fina,Cedrela_odorate,,
10,393174067,eb941a8c-0fd0-45c8-a18f-beec1f0b95d9,vyVCeasvVkmgvtHGva36kK,2024-10-09T17:36:36,Approved,1736873749,monitoreo_pachamama,2023-05-19,Tii,,reforestacion,,,,,"[None, None]",siembra_madera_fina,Cedrela_odorate,,
11,393229722,1409e77e-a6a6-4ded-8f8e-9eec624273d3,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:38:07,Approved,1736873659,monitoreo_pachamama,2023-09-14,Tii,,reforestacion,,,-2.466865 -76.99528 0 0,,"[-2.466865, -76.99528]",siembra_madera_fina,Minquartia_guianensis,,
12,393230212,1a2afd8e-a0e0-4df2-bfc6-1d1e1c8b2232,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:39:29,Approved,1736873656,monitoreo_pachamama,2023-09-14,Tii,,reforestacion,,,-2.466915 -76.995194 0 0,,"[-2.466915, -76.995194]",siembra_madera_fina,Minquartia_guianensis,,
13,393230362,0d40bf99-6c31-4756-b646-d77e5d43a82c,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:39:55,Approved,1736873655,monitoreo_pachamama,2023-09-14,Tii,,reforestacion,,,-2.467045 -76.99523 0 0,,"[-2.467045, -76.99523]",siembra_madera_fina,Minquartia_guianensis,,
14,393230680,3ecee146-7a66-45a4-9ea5-37c5fd0490a5,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:40:54,Approved,1736873653,monitoreo_pachamama,2023-09-14,Tii,,reforestacion,,,-2.467068 -76.995274 0 0,,"[-2.467068, -76.995274]",siembra_madera_fina,Minquartia_guianensis,,
15,393230819,5157351f-d55f-495c-913c-ef4f3e2ebd20,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:41:22,Approved,1736873652,monitoreo_pachamama,2023-09-14,Tii,,reforestacion,,,-2.467147 -76.995284 0 0,,"[-2.467147, -76.995284]",,Minquartia_guianensis,,
