,_id,Insumos_entregados,N_insumos
0,429831019,,
1,429862444,,
2,429863433,,
3,429863855,,
4,429864145,,
5,429864434,,
6,429864585,,
7,429865095,,
8,429865257,,
9,429865434,,
10,429865599,,
11,429865752,,
12,429866557,,
13,429866874,,
14,429867086,,
15,429867287,,
16,429867500,,
17,429867778,,
18,429868130,,
19,429868450,,
20,429868632,,
21,429868756,,
22,429868874,,
23,429869008,,
24,429870373,,
25,429870571,,
26,429870776,,
27,429871044,,
28,429872050,,
29,429872676,,
30,429872806,,
31,429873005,,
32,429873353,,
33,429873579,,
34,429873789,,
35,429873963,,
36,429874144,,
37,429874653,,
38,429874882,,
39,429875711,,
40,429875967,,
41,429876565,,
42,429876847,,
43,429876985,,
44,429877248,,
45,429877520,,
46,429877696,,
47,429877939,,
48,429878610,,
49,429879066,,
50,429879270,,
51,429879542,,
52,429884049,,
53,429884176,,
54,429884337,,
55,429884481,,
56,429884681,,
57,429884799,,
58,429885004,,
59,429885213,,
60,429885309,,
61,429885416,,
62,429885549,,
63,429885668,,
64,429885861,,
65,429886500,,
66,429886665,,
67,429886757,,
68,429887029,,
69,429887256,,
70,429887521,,
71,429887724,,
72,429887885,,
73,429888099,,
74,429888383,,
75,429888582,,
76,429888950,,
77,429889089,,
78,429889351,,
79,429889636,,
80,429890017,,
81,429890568,,
82,429890739,,
83,429890858,,
84,429890951,,
85,429891099,,
86,429891227,,
87,429891399,,
88,429891771,,
89,429891938,,
90,429892226,,
91,429892600,,
92,429892742,,
93,429893101,,
94,429893289,,
95,429893506,,
96,429893816,,
97,429894171,,
98,429894427,,
99,429894979,,
100,429895064,,
101,429895160,,
102,429895343,,
103,429895501,,
104,429895634,,
105,429895758,,
106,429895874,,
107,429896002,,
108,429896098,,
109,429896267,,
110,429896392,,
111,429896499,,
112,429896583,,
113,429896789,,
114,429896937,,
115,429897033,,
116,429897144,,
117,429897382,,
118,429897774,,
119,429897885,,
120,429898074,,
121,429898180,,
122,429898672,,
123,429898881,,
124,429899083,,
125,429899439,,
126,429899737,,
127,429899920,,
128,429900058,,
129,429900180,,
130,429900250,,
131,429901340,,
132,429901730,,
133,429901927,,
134,429909893,,
135,429910112,,
136,429918421,,
137,429918977,,
138,429919153,,
139,429919511,,
140,429919615,,
141,429920113,,
142,429920419,,
143,429920570,,
144,429920756,,
145,429921017,,
146,429921195,,
147,429921376,,
148,429921521,,
149,429921788,,
150,429922062,,
151,429922720,,
152,429922895,,
153,429923006,,
154,429923109,,
155,429923475,,
156,429923758,,
157,429923879,,
158,429924003,,
159,429924160,,
160,429924267,,
161,429928746,Medicamentos,1
162,429929099,Medicamentos,2
163,429929241,Medicamentos,1
164,429929463,Medicamentos,1
165,429929653,Medicamentos,1
166,429932147,Medicamentos,17
167,429932438,Medicamentos,1
168,429932645,Medicamentos,2
169,429932724,Medicamentos,10
170,429932786,Medicamentos,10
171,429932869,Medicamentos,6
172,429932997,,6
173,429935135,Medicamentos,2
174,429935237,Medicamentos,1
175,429935314,Medicamentos,10
176,429935367,Medicamentos,6
177,429935391,Medicamentos,6
178,429935444,Medicamentos,4
179,429936008,Medicamentos,4
180,429936082,Medicamentos,1
181,429936193,Medicamentos,2
182,429936311,Medicamentos,1
183,429936397,Medicamentos,1
184,429936497,Medicamentos,1
185,429936632,Medicamentos,1
186,429936679,Medicamentos,1
187,429936786,Medicamentos,10
188,429936847,Medicamentos,1
189,429936927,Medicamentos,6
190,429937016,Medicamentos,6
191,429937107,Medicamentos,1
192,429937225,Medicamentos,1
193,429937309,Medicamentos,1
194,429937414,Medicamentos,1
195,429937484,Medicamentos,1
196,429937743,Medicamentos,1
197,429937887,Medicamentos,1
198,429938358,Medicamentos,10
199,429938417,Medicamentos,5
200,429938628,Medicamentos,1
201,429938758,Medicamentos,4
202,429938819,Medicamentos,1
203,429938882,Medicamentos,1
204,429938994,Medicamentos,1
205,429939043,Medicamentos,2
206,429939232,Medicamentos,10
207,429939391,Medicamentos,1
208,429939456,Medicamentos,10
209,429939500,Medicamentos,10
210,429939550,Medicamentos,2
211,429939594,Medicamentos,5
212,429939662,Medicamentos,5
213,429939747,Medicamentos,1
214,429939859,Medicamentos,10
215,429939911,Medicamentos,6
216,429940034,Medicamentos,5
217,429940090,Medicamentos,5
218,429940163,Medicamentos,4
219,429940259,Medicamentos,1
220,429940388,Medicamentos,1
221,429940737,Medicamentos,5
222,429940866,Medicamentos,6
223,429940960,Medicamentos,5
224,429941126,Medicamentos,1
225,429941260,Medicamentos,2
226,429941368,Medicamentos,1
227,429941440,Medicamentos,1
228,429941547,Medicamentos,5
229,429941599,Medicamentos,5
230,429941657,Medicamentos,6
231,429941743,Medicamentos,5
232,429941861,Medicamentos,5
233,429942314,Medicamentos,1
234,429942471,Medicamentos,1
235,429942549,Medicamentos,1
236,429942682,Medicamentos,6
237,429942763,Medicamentos,6
238,429942816,Medicamentos,5
239,429942965,Medicamentos,6
240,429943008,Medicamentos,10
241,429943198,Medicamentos,5
242,429943247,Medicamentos,2
243,429943352,Medicamentos,4
244,429943424,Medicamentos,6
245,429943571,Medicamentos,4
246,429943740,Medicamentos,5
247,429943811,Medicamentos,1
248,429943886,Medicamentos,3
249,429943974,Medicamentos,3
250,429944049,Medicamentos,1
251,429944128,Medicamentos,10
252,429944198,Medicamentos,5
253,429944264,Medicamentos,5
254,429944318,Medicamentos,4
255,429944539,Medicamentos,4
256,429944620,Medicamentos,4
257,429944679,Medicamentos,1
258,429944727,Medicamentos,1
259,429944832,Medicamentos,5
260,429944963,Medicamentos,1
261,429945099,Medicamentos,1
262,429945358,Medicamentos,10
