,_id,seguridad_alimentaria,otra_seguridad_alimentaria
0,429831019,Avicultura,
1,429862444,Avicultura,
2,429863433,Avicultura,
3,429863855,Avicultura,
4,429864145,Avicultura,
5,429864434,Avicultura,
6,429864585,Avicultura,
7,429865095,Avicultura,
8,429865257,Avicultura,
9,429865434,Avicultura,
10,429865599,Avicultura,
11,429865752,Avicultura,
12,429866557,Avicultura,
13,429866874,Avicultura,
14,429867086,Avicultura,
15,429867287,Avicultura,
16,429867500,Avicultura,
17,429867778,Avicultura,
18,429868130,Avicultura,
19,429868450,Avicultura,
20,429868632,Avicultura,
21,429868756,Avicultura,
22,429868874,Avicultura,
23,429869008,Avicultura,
24,429870373,Pisicultura,
25,429870571,Pisicultura,
26,429870776,Pisicultura,
27,429871044,Pisicultura,
28,429872050,Pisicultura,
29,429872676,Pisicultura,
30,429872806,Pisicultura,
31,429873005,Pisicultura,
32,429873353,Pisicultura,
33,429873579,Pisicultura,
34,429873789,Pisicultura,
35,429873963,Pisicultura,
36,429874144,Pisicultura,
37,429874653,Pisicultura,
38,429874882,Pisicultura,
39,429875711,Pisicultura,
40,429875967,Pisicultura,
41,429876565,Pisicultura,
42,429876847,Pisicultura,
43,429876985,Pisicultura,
44,429877248,Pisicultura,
45,429877520,Pisicultura,
46,429877696,Pisicultura,
47,429877939,Pisicultura,
48,429878610,Pisicultura,
49,429879066,Pisicultura,
50,429879270,Pisicultura,
51,429879542,Pisicultura,
52,429884049,Avicultura,
53,429884176,Avicultura,
54,429884337,Avicultura,
55,429884481,Avicultura,
56,429884681,Avicultura,
57,429884799,Avicultura,
58,429885004,Avicultura,
59,429885213,Avicultura,
60,429885309,Avicultura,
61,429885416,Avicultura,
62,429885549,Avicultura,
63,429885668,Avicultura,
64,429885861,Avicultura,
65,429886500,Avicultura,
66,429886665,Avicultura,
67,429886757,Avicultura,
68,429887029,Avicultura,
69,429887256,Avicultura,
70,429887521,Avicultura,
71,429887724,Avicultura,
72,429887885,Avicultura,
73,429888099,Avicultura,
74,429888383,Avicultura,
75,429888582,Avicultura,
76,429888950,Avicultura,
77,429889089,Avicultura,
78,429889351,Avicultura,
79,429889636,Avicultura,
80,429890017,Avicultura,
81,429890568,Avicultura,
82,429890739,Avicultura,
83,429890858,Avicultura,
84,429890951,Avicultura,
85,429891099,Avicultura,
86,429891227,Avicultura,
87,429891399,Avicultura,
88,429891771,Pisicultura,
89,429891938,Pisicultura,
90,429892226,Pisicultura,
91,429892600,Pisicultura,
92,429892742,Pisicultura,
93,429893101,Pisicultura,
94,429893289,Pisicultura,
95,429893506,Pisicultura,
96,429893816,Pisicultura,
97,429894171,Pisicultura,
98,429894427,Pisicultura,
99,429894979,Pisicultura,
100,429895064,Pisicultura,
101,429895160,Pisicultura,
102,429895343,Pisicultura,
103,429895501,Pisicultura,
104,429895634,Pisicultura,
105,429895758,Pisicultura,
